,Name
0,Автономна Республіка Крим
1,Вінницька область
2,Волинська область
3,Дніпропетровська область
4,Донецька область
5,Житомирська область
6,Закарпатська область
7,Запорізька область
8,Івано-Франківська область
9,м. Київ
10,Київська область
11,Кіровоградська область
12,Луганська область
13,Львівська область
14,Миколаївська область
15,Одеська область
16,Полтавська область
17,Рівненська область
18,м. Севастополь
19,Сумська область
20,Тернопільська область
21,Харківська область
22,Херсонська область
23,Хмельницька область
24,Черкаська область
25,Чернівецька область
26,Чернігівська область
